edad_persona_en_situacion_de_violencia,genero_de_la_persona_agresora,genero_persona_en_situacion_de_violencia,modalidad_de_violencia_laboral,modalidad_de_violencia_institucional,modalidad_de_violencia_mediatica,modalidad_de_violencia_obstetrica,modalidad_de_violencia_otras,modalidad_violencia_contra_libertad_reproductiva,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_domestica,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_simbolica,Ubicación,vinculo_con_la_persona_agresora
0,Mujer,Mujer,,,,,,,Argentina,,,,1,,1,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,Argentina,,,1,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Argentina,,,1,1,,,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
0,Mujer,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Argentina,1,,,1,,1,"Buenos Aires, Argentina",Madre o tutor
0,Mujer,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Madre o tutor
0,Mujer,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,Boliviana,1,,1,1,,,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,Colombiana,1,,1,1,,,"Santa Fe, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,,,,,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,,,,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,,,,1,,1,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,,,1,1,1,1,"Buenos Aires, Argentina",Ex pareja
0,Mujer,Mujer,,,,,,,No informado,,1,1,,1,,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,,"Sin Informar, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,1,"Buenos Aires, Argentina",Madre o tutor
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,1,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,Mujer,Mujer,,,,,,,No informado,1,,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,,,No informado,1,1,,1,1,,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,,,No informado,1,1,1,1,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Paraguaya,,,,,,,"Buenos Aires, Argentina",Otro familiar
0,Mujer,Mujer,,,,,,,Venezolana,1,1,1,1,,,"Buenos Aires, Argentina",Pareja
0,Mujer,Mujer,,,,,1,,No informado,,,,1,,,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,,1,,No informado,,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,,,1,,,No informado,,,,1,,,"Sin Informar, Argentina",Otro
0,Mujer,Mujer,,1,,,,,Argentina,,,,1,,1,"Buenos Aires, Argentina",Otro
0,Mujer,Mujer,,1,,,,,No informado,1,,1,,,1,"Buenos Aires, Argentina",Madre o tutor
0,Mujer,Mujer,1,,,,,,No informado,,1,,1,,1,"Sin Informar, Argentina",Otro
0,Mujer,Mujer,1,,,,,,No informado,,1,1,1,,,"Buenos Aires, Argentina",Otro
0,Mujer,Sin Informar,,,,,,,No informado,1,,,1,,,"Sin Informar, Argentina",Sin Informar
0,Mujer,Sin Informar,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,Mujer,Sin Informar,,,,,,,No informado,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,Mujer,Varon,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,Mujer Trans,Mujer,,,,,,,Boliviana,1,,1,1,1,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,,,,,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,,,,,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,,,,1,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,,,,1,,1,"Tucumán, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,,,1,1,,,"Jujuy, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,,1,1,1,,,"Mendoza, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Jujuy, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Mendoza, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Salta, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Santa Fe, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Sin Informar, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"San Luis, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,1,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Sin Informar
